Average,City,Code,Direction,Full,Maximum,Minimum,Month,Precipitation,WindSpeed,State,Day,Year
43,Clarksville,CKV,21,1/31/2016,56,31,1,0.12,7.7,Tennessee,31,2016
42,Crossville,CSV,19,1/31/2016,51,32,1,0.67,5.71,Tennessee,31,2016
42,Knoxville,TYS,22,1/31/2016,53,31,1,0.71,4.77,Tennessee,31,2016
49,Memphis,MEM,19,1/31/2016,60,38,1,0.04,9.24,Tennessee,31,2016
45,Nashville,BNA,20,1/31/2016,57,32,1,0.08,7.55,Tennessee,31,2016
42,Oak Ridge,OQT,20,1/31/2016,54,30,1,0.92,2.1,Tennessee,31,2016
52,Abilene,ABI,21,1/31/2016,65,37,1,0,6.42,Texas,31,2016
45,Amarillo,AMA,24,1/31/2016,62,27,1,0,7.55,Texas,31,2016
54,Austin/Bergstrom,AUS,19,1/31/2016,70,38,1,0.16,7.74,Texas,31,2016
58,Austin/City,ATT,21,1/31/2016,71,44,1,0,3.22,Texas,31,2016
58,Beaumont/Port Arthur,BPT,20,1/31/2016,70,46,1,0.97,8.2,Texas,31,2016
61,Brownsville,BRO,23,1/31/2016,72,50,1,0.07,9.94,Texas,31,2016
51,Childress,CDS,24,1/31/2016,67,34,1,0,7.17,Texas,31,2016
57,College Station,CLL,20,1/31/2016,70,44,1,0,8.67,Texas,31,2016
60,Corpus Christi,CRP,18,1/31/2016,74,46,1,0,11.17,Texas,31,2016
42,Dalhart,DHT,25,1/31/2016,60,24,1,0,7.74,Texas,31,2016
54,Dallas,DAL,27,1/31/2016,66,41,1,0,6.17,Texas,31,2016
53,Dallas-Fort Worth,DFW,21,1/31/2016,66,40,1,0,8.71,Texas,31,2016
55,Del Rio,DRT,26,1/31/2016,73,37,1,0.11,4.48,Texas,31,2016
48,El Paso,ELP,20,1/31/2016,62,34,1,0,5.62,Texas,31,2016
54,Fort Worth,FTW,26,1/31/2016,67,42,1,0,7.3,Texas,31,2016
58,Galveston,GLS,24,1/31/2016,64,51,1,1.43,10.94,Texas,31,2016
59,Houston,HOU,20,1/31/2016,70,47,1,0.37,8.27,Texas,31,2016
47,Lubbock,LBB,24,1/31/2016,64,28,1,0,8.07,Texas,31,2016
50,Midland,MAF,22,1/31/2016,65,34,1,0.09,9,Texas,31,2016
52,San Angelo,SJT,22,1/31/2016,69,34,1,0.03,7.32,Texas,31,2016
56,San Antonio,SAT,19,1/31/2016,70,42,1,0.28,5.78,Texas,31,2016
58,Victoria,VCT,19,1/31/2016,71,44,1,0.07,9.38,Texas,31,2016
53,Waco,ACT,25,1/31/2016,69,36,1,0,7.97,Texas,31,2016
50,Wichita Falls,SPS,21,1/31/2016,66,34,1,0,8.38,Texas,31,2016
31,Salt Lake City,SLC,20,1/31/2016,40,22,1,0.54,3.45,Utah,31,2016
36,Blacksburg,BCB,23,1/31/2016,48,24,1,0,3.51,VA,31,2016
32,Burlington,BTV,21,1/31/2016,40,24,1,0.1,9.14,Vermont,31,2016
36,Lynchburg,LYH,22,1/31/2016,49,23,1,0.01,4.4,Virginia,31,2016
44,Norfolk,ORF,16,1/31/2016,55,32,1,0.03,7.64,Virginia,31,2016
36,Richmond,RIC,17,1/31/2016,50,25,1,0.01,6.74,Virginia,31,2016
36,Roanoke,ROA,23,1/31/2016,48,24,1,0,3.51,Virginia,31,2016
40,Wallops Island,WAL,20,1/31/2016,52,28,1,0.01,7.34,Virginia,31,2016
37,Washington,DCA,24,1/31/2016,46,27,1,0,6.81,Virginia,31,2016
33,Deer Park,DEW,15,1/31/2016,37,28,1,0.79,2.2,Washington,31,2016
35,Ephrata,EPH,31,1/31/2016,41,29,1,0.1,2.77,Washington,31,2016
45,Olympia,OLM,18,1/31/2016,52,38,1,2.19,5.58,Washington,31,2016
47,Quillayute,UIL,16,1/31/2016,51,42,1,5.88,5.9,Washington,31,2016
47,Seattle,SEA,17,1/31/2016,52,42,1,1.97,7.45,Washington,31,2016
35,Spokane,GEG,15,1/31/2016,38,30,1,0.59,5.5,Washington,31,2016
36,Yakima,YKM,26,1/31/2016,46,29,1,0.27,2.75,Washington,31,2016
36,Beckley,BKW,23,1/31/2016,46,24,1,0.32,6.9,West Virginia,31,2016
37,Charleston,CRW,21,1/31/2016,49,24,1,0.16,4.51,West Virginia,31,2016
28,Elkins,EKN,21,1/31/2016,45,10,1,0.12,3.18,West Virginia,31,2016
40,Huntington,HTS,22,1/31/2016,51,28,1,0.05,5.81,West Virginia,31,2016
28,Green Bay,GRB,21,1/31/2016,34,20,1,0.52,7.67,Wisconsin,31,2016
29,La Crosse,LSE,20,1/31/2016,36,22,1,0.29,7.68,Wisconsin,31,2016
28,Madison,MSN,23,1/31/2016,35,20,1,0.42,5.55,Wisconsin,31,2016
31,Milwaukee,MKE,24,1/31/2016,37,25,1,0.32,7.64,Wisconsin,31,2016
27,Casper,CPR,22,1/31/2016,35,19,1,0.45,16.98,Wyoming,31,2016
34,Cheyenne,CYS,29,1/31/2016,43,24,1,0.02,11.32,Wyoming,31,2016
26,Lander,LND,27,1/31/2016,37,15,1,0.06,1.38,Wyoming,31,2016
22,Rawlins,RWL,24,1/31/2016,31,13,1,0.24,12.07,Wyoming,31,2016
33,Sheridan,SHR,23,1/31/2016,45,21,1,0.16,3.91,Wyoming,31,2016
51,Birmingham,BHM,23,2/7/2016,61,40,2,3.05,6.35,Alabama,7,2016
48,Huntsville,HSV,23,2/7/2016,60,37,2,2.27,5.98,Alabama,7,2016
53,Mobile,MOB,18,2/7/2016,63,43,2,1.18,8.01,Alabama,7,2016
53,Montgomery,MGM,26,2/7/2016,64,42,2,1.45,5.88,Alabama,7,2016
26,Anchorage,ANC,5,2/7/2016,31,20,2,0.08,3.97,Alaska,7,2016
39,Annette,ANN,14,2/7/2016,43,34,2,4.68,9.51,Alaska,7,2016
22,Bethel,BET,6,2/7/2016,27,16,2,0.03,15.5,Alaska,7,2016
2,Bettles,BTT,25,2/7/2016,13,-9,2,0,5.05,Alaska,7,2016
34,Cold Bay,CDB,16,2/7/2016,37,29,2,0.4,11.17,Alaska,7,2016
37,Cordova,CDV,8,2/7/2016,40,30,2,1.76,5.9,Alaska,7,2016
11,Delta Junction/Ft Greely,BIG,11,2/7/2016,15,6,2,0,16.05,Alaska,7,2016
0,Fairbanks,FAI,4,2/7/2016,9,-9,2,0.05,2.61,Alaska,7,2016
-1,Gulkana,GKN,33,2/7/2016,8,-12,2,0,1.15,Alaska,7,2016
60,Gustavus,GST,13,2/7/2016,60,60,2,0,3.32,Alaska,7,2016
35,Homer,HOM,6,2/7/2016,40,29,2,1.06,8.34,Alaska,7,2016
35,Iliamna,ILI,10,2/7/2016,39,31,2,0,8.57,Alaska,7,2016
36,Juneau,JNU,8,2/7/2016,39,32,2,0.67,7.38,Alaska,7,2016
28,Kenai,ENA,3,2/7/2016,32,23,2,0.12,14.35,Alaska,7,2016
40,Ketchikan,KTN,17,2/7/2016,43,36,2,5.58,9,Alaska,7,2016
33,King Salmon,AKN,7,2/7/2016,39,26,2,0.24,10.2,Alaska,7,2016
34,Kodiak,ADQ,7,2/7/2016,38,30,2,2.14,11.4,Alaska,7,2016
15,Kotzebue,OTZ,8,2/7/2016,20,9,2,0.07,17.08,Alaska,7,2016
4,Mc Grath,MCG,24,2/7/2016,15,-6,2,0.06,0.88,Alaska,7,2016
21,Nome,OME,6,2/7/2016,26,14,2,0.28,9.81,Alaska,7,2016
-5,Northway,ORT,13,2/7/2016,2,-14,2,0,0.53,Alaska,7,2016
25,Palmer,PAQ,20,2/7/2016,33,17,2,0,11.2,Alaska,7,2016
60,Petersburg,PSG,15,2/7/2016,60,60,2,0,2.61,Alaska,7,2016
60,Shemya,SYA,31,2/7/2016,60,60,2,0,19.23,Alaska,7,2016
41,Sitka,SIT,11,2/7/2016,44,36,2,0.98,9.51,Alaska,7,2016
35,Skagway,SGY,17,2/7/2016,37,32,2,0.3,6.97,Alaska,7,2016
33,St Paul Island,SNP,14,2/7/2016,35,30,2,0.28,10.6,Alaska,7,2016
26,Talkeetna,TKA,11,2/7/2016,32,20,2,0,6.71,Alaska,7,2016
6,Tanana,TAL,8,2/7/2016,11,0,2,0,7.4,Alaska,7,2016
-7,Utqiagvik (Barrow),BRW,6,2/7/2016,-2,-13,2,0,18.41,Alaska,7,2016
35,Yakutat,YAK,8,2/7/2016,38,32,2,2.44,5.92,Alaska,7,2016
39,Douglas Bisbee,DUG,20,2/7/2016,58,19,2,0.08,6.04,Arizona,7,2016
39,Kingman,IGM,7,2/7/2016,51,26,2,0,6.88,Arizona,7,2016
52,Phoenix,PHX,15,2/7/2016,64,40,2,0,4.25,Arizona,7,2016
48,Tucson,TUS,23,2/7/2016,62,34,2,0.18,4.68,Arizona,7,2016
30,Winslow,INW,23,2/7/2016,44,15,2,0.22,5.18,Arizona,7,2016
44,Fort Smith,FSM,18,2/7/2016,58,30,2,0,6.91,Arkansas,7,2016
41,Harrison,HRO,23,2/7/2016,52,30,2,0.24,6.52,Arkansas,7,2016
48,North Little Rock,LZK,0,2/7/2016,57,38,2,0,0,Arkansas,7,2016
48,Bakersfield,BFL,9,2/7/2016,59,36,2,0,2.52,California,7,2016
36,Bishop,BIH,32,2/7/2016,50,21,2,0,4.32,California,7,2016
42,China Lake,NID,19,2/7/2016,57,27,2,0,3.44,California,7,2016
50,Concord,CCR,5,2/7/2016,60,40,2,0.02,3.24,California,7,2016
48,Eureka,EKA,0,2/7/2016,56,40,2,0.38,0,California,7,2016
47,Fresno,FAT,20,2/7/2016,58,36,2,0,1.41,California,7,2016
52,Hayward,HWD,15,2/7/2016,61,42,2,0.05,3.42,California,7,2016
57,Long Beach,LGB,25,2/7/2016,71,43,2,0,4.91,California,7,2016
58,Los Angeles,LAX,30,2/7/2016,69,47,2,0,2.94,California,7,2016
49,Red Bluff,RBL,33,2/7/2016,60,38,2,0.01,5.17,California,7,2016
49,Redding,RDD,29,2/7/2016,60,37,2,0.09,3.37,California,7,2016
48,Sacramento,SAC,22,2/7/2016,59,36,2,0.04,3.38,California,7,2016
53,Salinas,SNS,12,2/7/2016,65,41,2,0.01,5.32,California,7,2016
58,San Diego,SAN,30,2/7/2016,68,47,2,0,4.3,California,7,2016
52,San Francisco,SFO,11,2/7/2016,59,45,2,0.18,4.31,California,7,2016
41,Sandberg,SDB,14,2/7/2016,47,34,2,0.01,18.71,California,7,2016
53,Santa Barbara,SBA,28,2/7/2016,67,38,2,0,3.94,California,7,2016
53,Santa Maria,SMX,23,2/7/2016,68,37,2,0,2.84,California,7,2016
47,Stockton,SCK,21,2/7/2016,59,35,2,0,4.57,California,7,2016
12,Alamosa,ALS,22,2/7/2016,30,-6,2,0.15,4.38,Colorado,7,2016
21,Colorado Springs,COS,7,2/7/2016,32,9,2,1,5.87,Colorado,7,2016
7,Craig,CAG,22,2/7/2016,20,-6,2,0.23,2.68,Colorado,7,2016
21,Denver,DEN,20,2/7/2016,34,11,2,0.48,8.67,Colorado,7,2016
16,Grand Junction,GJT,14,2/7/2016,26,5,2,0.42,3.2,Colorado,7,2016
25,Pueblo,PUB,8,2/7/2016,37,13,2,0.33,4.74,Colorado,7,2016
39,Bridgeport,BDR,24,2/7/2016,49,28,2,2.06,5.07,Connecticut,7,2016
38,Windsor Locks,BDL,24,2/7/2016,49,26,2,1.23,4.54,Connecticut,7,2016
40,Wilmington,ILG,19,2/7/2016,49,30,2,1.24,5.24,Delaware,7,2016
62,Daytona Beach,DAB,22,2/7/2016,71,53,2,2.85,6.54,Florida,7,2016
71,Fort Lauderdale,FLL,14,2/7/2016,76,65,2,1.58,9.31,Florida,7,2016
59,Gainesville,GNV,20,2/7/2016,70,47,2,3.6,6.3,Florida,7,2016
58,Jacksonville,JAX,20,2/7/2016,69,47,2,3.62,7.2,Florida,7,2016
73,Key West,EYW,16,2/7/2016,76,68,2,2.84,11.44,Florida,7,2016
71,Miami,MIA,17,2/7/2016,77,65,2,1.44,7.38,Florida,7,2016
64,Orlando,MCO,22,2/7/2016,74,54,2,0.67,8.78,Florida,7,2016
56,Pensacola,PNS,25,2/7/2016,64,46,2,1.59,7.95,Florida,7,2016
54,Tallahassee,TLH,26,2/7/2016,65,43,2,2.76,6.25,Florida,7,2016
64,Tampa,TPA,19,2/7/2016,71,56,2,1.3,6.8,Florida,7,2016
66,Vero Beach,VRB,17,2/7/2016,75,57,2,1.66,8.95,Florida,7,2016
69,West Palm Beach,PBI,18,2/7/2016,76,63,2,0.88,10.27,Florida,7,2016
56,Alma,AMG,21,2/7/2016,67,44,2,3.32,5.78,Georgia,7,2016
51,Athens,AHN,21,2/7/2016,62,40,2,1.83,5.21,Georgia,7,2016
51,Atlanta,ATL,22,2/7/2016,60,41,2,2.13,8.75,Georgia,7,2016
53,Augusta,AGS,22,2/7/2016,64,42,2,2.14,5.85,Georgia,7,2016
52,Macon,MCN,22,2/7/2016,62,40,2,2.21,4.71,Georgia,7,2016
53,Savannah,SAV,21,2/7/2016,66,45,2,2.99,8,Georgia,7,2016
74,Hilo,ITO,21,2/7/2016,82,65,2,1.05,4.88,Hawaii,7,2016
75,Honolulu,HNL,15,2/7/2016,82,68,2,0.08,4.35,Hawaii,7,2016
73,Kahului,OGG,6,2/7/2016,84,61,2,0.27,6.4,Hawaii,7,2016
72,Kaunakakai,MKK,11,2/7/2016,81,62,2,0.14,6.02,Hawaii,7,2016
73,Lihue,LIH,10,2/7/2016,80,65,2,0,5.95,Hawaii,7,2016
34,Boise,BOI,18,2/7/2016,42,25,2,0.07,4.71,Idaho,7,2016
39,Lewiston,LWS,18,2/7/2016,47,31,2,0.02,4.72,Idaho,7,2016
20,Pocatello,PIH,22,2/7/2016,28,10,2,0.04,3.82,Idaho,7,2016
33,Chicago,ORD,23,2/7/2016,38,27,2,0.81,8.4,Illinois,7,2016
32,Moline,MLI,20,2/7/2016,39,25,2,0.6,7.94,Illinois,7,2016
34,Peoria,PIA,19,2/7/2016,42,25,2,0.38,6.52,Illinois,7,2016
37,Quincy,UIN,21,2/7/2016,46,27,2,0.1,7.8,Illinois,7,2016
31,Rockford,RFD,23,2/7/2016,36,24,2,0.4,6.97,Illinois,7,2016
37,Springfield,SPI,20,2/7/2016,47,27,2,0.42,7.55,Illinois,7,2016
44,Evansville,EVV,19,2/7/2016,56,32,2,1.76,6.47,Indiana,7,2016
35,Fort Wayne,FWA,22,2/7/2016,45,25,2,0.24,9.95,Indiana,7,2016
38,Indianapolis,IND,23,2/7/2016,49,26,2,0.3,9.14,Indiana,7,2016
32,South Bend,SBN,22,2/7/2016,41,23,2,0.46,8.04,Indiana,7,2016
28,Cedar Rapids,CID,19,2/7/2016,34,22,2,0.17,8.91,Iowa,7,2016
30,Des Moines,DSM,21,2/7/2016,38,22,2,0.4,9.54,Iowa,7,2016
27,Dubuque,DBQ,23,2/7/2016,32,21,2,0.32,8.75,Iowa,7,2016
26,Sioux City,SUX,19,2/7/2016,35,15,2,0.79,10.42,Iowa,7,2016
25,Waterloo,ALO,19,2/7/2016,33,16,2,0.67,9.44,Iowa,7,2016
32,Concordia,CNK,25,2/7/2016,40,24,2,0.49,9.78,Kansas,7,2016
31,Dodge City,DDC,27,2/7/2016,42,21,2,0.31,11.9,Kansas,7,2016
24,Goodland,GLD,26,2/7/2016,33,15,2,0.81,15.18,Kansas,7,2016
37,Medicine Lodge,P28,23,2/7/2016,49,24,2,0.38,7.97,Kansas,7,2016
38,Topeka,TOP,21,2/7/2016,47,27,2,0.35,7.67,Kansas,7,2016
38,Wichita,ICT,25,2/7/2016,50,26,2,0.55,9.31,Kansas,7,2016
38,Covington,CVG,23,2/7/2016,51,28,2,1.73,7.98,Kentucky,7,2016
44,Jackson,JKL,26,2/7/2016,55,33,2,1.86,2.08,Kentucky,7,2016
42,Lexington,LEX,18,2/7/2016,54,29,2,1.38,7.9,Kentucky,7,2016
44,Louisville,SDF,24,2/7/2016,55,33,2,1.58,6.97,Kentucky,7,2016
44,Paducah,PAH,21,2/7/2016,56,31,2,0.36,7.61,Kentucky,7,2016
53,Baton Rouge,BTR,18,2/7/2016,65,40,2,1.85,5.37,Louisiana,7,2016
52,Lake Charles,LCH,21,2/7/2016,63,41,2,0.07,5.74,Louisiana,7,2016
55,New Orleans,MSY,19,2/7/2016,66,49,2,1.05,8.57,Louisiana,7,2016
51,Shreveport,SHV,23,2/7/2016,63,39,2,0,5.5,Louisiana,7,2016
54,Slidell,ASD,18,2/7/2016,65,41,2,0.57,5.01,Louisiana,7,2016
31,Bangor,BGR,27,2/7/2016,43,19,2,1.07,5.88,Maine,7,2016
22,Caribou,CAR,26,2/7/2016,34,10,2,0.62,6.88,Maine,7,2016
36,Portland,PWM,28,2/7/2016,47,25,2,1.32,4.71,Maine,7,2016
40,Baltimore,BWI,18,2/7/2016,49,31,2,0.88,4.35,Maryland,7,2016
44,Salisbury,SBY,18,2/7/2016,54,34,2,1.36,6.44,Maryland,7,2016
41,Boston,BOS,23,2/7/2016,50,33,2,1.3,8.12,Massachusetts,7,2016
60,Milton,MQE,24,2/7/2016,60,60,2,0,7.38,Massachusetts,7,2016
37,Worcester,ORH,26,2/7/2016,46,27,2,1.48,9,Massachusetts,7,2016
26,Alpena,APN,22,2/7/2016,33,19,2,1.15,5.07,Michigan,7,2016
36,Detroit,DTW,20,2/7/2016,44,27,2,0.49,9.11,Michigan,7,2016
35,Flint,FNT,22,2/7/2016,43,26,2,0.39,8.28,Michigan,7,2016
31,Grand Rapids,GRR,21,2/7/2016,37,24,2,1.63,8.75,Michigan,7,2016
27,Houghton Lake,HTL,22,2/7/2016,32,21,2,0.76,6.12,Michigan,7,2016
32,Lansing,LAN,21,2/7/2016,39,24,2,0.63,8.3,Michigan,7,2016
22,Marquette,MQT,0,2/7/2016,27,16,2,1.02,0,Michigan,7,2016
32,Muskegon,MKG,23,2/7/2016,37,26,2,1.3,7.9,Michigan,7,2016
25,Sault Ste Marie,ANJ,16,2/7/2016,30,18,2,0.61,5.54,Michigan,7,2016
20,Duluth,DLH,24,2/7/2016,27,8,2,0.26,8.57,Minnesota,7,2016
15,International Falls,INL,23,2/7/2016,25,5,2,0.13,4.28,Minnesota,7,2016
24,Minneapolis,MSP,23,2/7/2016,31,16,2,0.6,8.58,Minnesota,7,2016
21,Rochester,RST,22,2/7/2016,29,13,2,0.53,11.98,Minnesota,7,2016
21,St Cloud,STC,23,2/7/2016,30,11,2,0.22,8.71,Minnesota,7,2016
49,Greenville,GLH,20,2/7/2016,60,39,2,1.43,5.4,Mississippi,7,2016
49,Greenwood,GWO,18,2/7/2016,61,36,2,0.43,4.7,Mississippi,7,2016
53,Gulfport,GPT,21,2/7/2016,62,43,2,1.47,6.7,Mississippi,7,2016
52,Hattiesburg,HBG,23,2/7/2016,65,41,2,0.92,5.9,Mississippi,7,2016
51,Jackson,JAN,23,2/7/2016,62,38,2,5.15,5.07,Mississippi,7,2016
50,Meridian,MEI,18,2/7/2016,62,38,2,0.7,5.84,Mississippi,7,2016
48,Tupelo,TUP,20,2/7/2016,59,37,2,1.26,4.6,Mississippi,7,2016
43,Cape Girardeau,CGI,20,2/7/2016,55,31,2,0.03,7.22,Missouri,7,2016
40,Columbia,COU,18,2/7/2016,50,29,2,0.02,8.47,Missouri,7,2016
36,Kansas City,MCI,21,2/7/2016,46,26,2,0.4,8.84,Missouri,7,2016
39,Rolla/Vichy,VIH,20,2/7/2016,50,28,2,0.21,8.65,Missouri,7,2016
39,Springfield,SGF,22,2/7/2016,51,26,2,0.05,9.15,Missouri,7,2016
34,St Joseph,STJ,21,2/7/2016,45,23,2,0.32,8.28,Missouri,7,2016
42,St Louis,STL,21,2/7/2016,52,32,2,0.15,7.61,Missouri,7,2016
33,Billings,BIL,26,2/7/2016,41,24,2,0,12.34,Montana,7,2016
17,Butte,BTM,28,2/7/2016,30,3,2,0.03,2.72,Montana,7,2016
30,Cut Bank,CTB,26,2/7/2016,40,21,2,0.01,18.35,Montana,7,2016
22,Dillon,DLN,21,2/7/2016,31,13,2,0,11.45,Montana,7,2016
25,Glasgow,GGW,23,2/7/2016,34,15,2,0.02,8.64,Montana,7,2016
30,Great Falls,GTF,22,2/7/2016,41,20,2,0.03,14.02,Montana,7,2016
31,Havre,HVR,25,2/7/2016,40,21,2,0,11.55,Montana,7,2016
29,Helena,HLN,24,2/7/2016,37,20,2,0,6.22,Montana,7,2016
25,Kalispell,GPI,23,2/7/2016,35,14,2,0.19,3.3,Montana,7,2016
31,Miles City,MLS,26,2/7/2016,41,21,2,0,9.5,Montana,7,2016
27,Missoula,MSO,25,2/7/2016,34,20,2,0.17,2.17,Montana,7,2016
26,Grand Island,GRI,20,2/7/2016,34,18,2,1.85,13.24,Nebraska,7,2016
26,Lincoln,LNK,19,2/7/2016,36,16,2,0.75,9.75,Nebraska,7,2016
26,Norfolk,OFK,20,2/7/2016,35,16,2,1.29,11.35,Nebraska,7,2016
24,North Platte,LBF,27,2/7/2016,34,13,2,0.75,11.82,Nebraska,7,2016
28,Omaha,OMA,18,2/7/2016,36,20,2,0.53,9.8,Nebraska,7,2016
23,Scottsbluff,BFF,28,2/7/2016,32,14,2,0.34,12.28,Nebraska,7,2016
22,Sidney,SNY,22,2/7/2016,30,13,2,1.07,15.64,Nebraska,7,2016
27,Valentine,VTN,21,2/7/2016,37,18,2,0.05,10.8,Nebraska,7,2016
11,Ely,ELY,19,2/7/2016,27,-4,2,0.05,10.64,Nevada,7,2016
60,Eureka,P68,23,2/7/2016,26,-1,2,0.05,6.42,Nevada,7,2016
45,Las Vegas,LAS,15,2/7/2016,55,35,2,0.09,4.24,Nevada,7,2016
41,Mercury,DRA,3,2/7/2016,52,30,2,0.03,10.2,Nevada,7,2016
32,Reno,RNO,19,2/7/2016,43,20,2,0,1.55,Nevada,7,2016
29,Winnemucca,WMC,11,2/7/2016,38,19,2,0.09,5.05,Nevada,7,2016
34,Concord,CON,21,2/7/2016,46,22,2,1.38,3.51,New Hampshire,7,2016
60,Mt. Washington,MWN,26,2/7/2016,60,60,2,0,45.16,New Hampshire,7,2016
41,Atlantic City,ACY,19,2/7/2016,52,30,2,1.52,6.18,New Jersey,7,2016
42,Newark,EWR,25,2/7/2016,50,33,2,1.12,5.37,New Jersey,7,2016
33,Albuquerque,ABQ,32,2/7/2016,44,23,2,0.03,9.62,New Mexico,7,2016
29,Clayton,CAO,22,2/7/2016,43,15,2,0.11,10.28,New Mexico,7,2016
39,Roswell,ROW,22,2/7/2016,56,21,2,0,6.91,New Mexico,7,2016
39,Albany,ALB,27,2/7/2016,49,28,2,0.35,6.92,New York,7,2016
35,Binghamton,BGM,24,2/7/2016,43,27,2,0.78,6.9,New York,7,2016
38,Buffalo,BUF,20,2/7/2016,45,31,2,0.75,10.51,New York,7,2016
30,Glens Falls,GFL,20,2/7/2016,43,22,2,1.3,3.74,New York,7,2016
39,Islip,ISP,24,2/7/2016,50,28,2,1.71,6.87,New York,7,2016
44,New York,LGA,25,2/7/2016,50,37,2,1.05,6.27,New York,7,2016
38,Rochester,ROC,22,2/7/2016,46,30,2,0.8,8.74,New York,7,2016
36,Syracuse,SYR,22,2/7/2016,44,28,2,0.58,6.42,New York,7,2016
44,Asheville,AVL,27,2/7/2016,52,35,2,2.42,8.61,North Carolina,7,2016
54,Cape Hatteras,HSE,15,2/7/2016,61,51,2,5.75,9.77,North Carolina,7,2016
49,Charlotte,CLT,17,2/7/2016,58,40,2,0.74,7.32,North Carolina,7,2016
48,Greensboro,GSO,16,2/7/2016,56,40,2,1,5.95,North Carolina,7,2016
46,Hickory,HKY,25,2/7/2016,56,35,2,1.84,3.75,North Carolina,7,2016
49,Raleigh/Durham,RDU,13,2/7/2016,58,40,2,1.54,5.34,North Carolina,7,2016
54,Wilmington,ILM,19,2/7/2016,62,44,2,6.14,9.15,North Carolina,7,2016
31,Bismarck,BIS,25,2/7/2016,41,21,2,0.02,8.22,North Dakota,7,2016
26,Dickinson,DIK,24,2/7/2016,36,16,2,0,12.47,North Dakota,7,2016
24,Fargo,FAR,26,2/7/2016,32,15,2,0.14,8.67,North Dakota,7,2016
23,Grand Forks,GFK,24,2/7/2016,31,15,2,0.14,8.18,North Dakota,7,2016
26,Williston,ISN,24,2/7/2016,36,16,2,0.04,8.91,North Dakota,7,2016
39,Akron,CAK,23,2/7/2016,48,26,2,0.69,8.9,Ohio,7,2016
37,Cleveland,CLE,22,2/7/2016,47,26,2,0.59,9.92,Ohio,7,2016
38,Columbus,CMH,22,2/7/2016,49,26,2,0.71,7.05,Ohio,7,2016
36,Dayton,DAY,23,2/7/2016,47,25,2,1.23,9.52,Ohio,7,2016
36,Mansfield,MFD,21,2/7/2016,46,25,2,0.71,9.08,Ohio,7,2016
35,Toledo,TOL,21,2/7/2016,45,24,2,0.32,9.04,Ohio,7,2016
36,Youngstown/Warren,YNG,22,2/7/2016,47,25,2,1.04,7.35,Ohio,7,2016
36,Gage,GAG,24,2/7/2016,50,21,2,0.33,8.02,Oklahoma,7,2016
42,Oklahoma City,OKC,24,2/7/2016,54,29,2,0.26,9.12,Oklahoma,7,2016
40,Ponca City,PNC,23,2/7/2016,52,27,2,0.8,7.42,Oklahoma,7,2016
44,Tulsa,TUL,23,2/7/2016,56,31,2,0.11,8.14,Oklahoma,7,2016
46,Astoria,AST,14,2/7/2016,53,39,2,1.53,5.25,Oregon,7,2016
27,Burns,BNO,21,2/7/2016,38,12,2,0.12,1.88,Oregon,7,2016
45,Eugene,EUG,18,2/7/2016,51,38,2,0.46,6.5,Oregon,7,2016
43,Medford,MFR,19,2/7/2016,52,34,2,0.25,1,Oregon,7,2016
40,Pendleton,PDT,16,2/7/2016,49,30,2,0.22,4.22,Oregon,7,2016
46,Portland,PDX,18,2/7/2016,53,40,2,0.83,5.67,Oregon,7,2016
37,Redmond,RDM,14,2/7/2016,49,25,2,0,3.15,Oregon,7,2016
46,Salem,SLE,22,2/7/2016,53,38,2,0.44,6.12,Oregon,7,2016
38,Allentown,ABE,22,2/7/2016,48,26,2,0.91,3.18,Pennsylvania,7,2016
37,Erie,ERI,21,2/7/2016,47,29,2,0.85,9.3,Pennsylvania,7,2016
36,Harrisburg,MDT,20,2/7/2016,44,27,2,1.16,4.52,Pennsylvania,7,2016
43,Philadelphia,PHL,20,2/7/2016,51,34,2,0.97,5.58,Pennsylvania,7,2016
38,Pittsburgh,PIT,23,2/7/2016,49,27,2,0.53,6.61,Pennsylvania,7,2016
38,Wilkes-Barre/Scranton,AVP,23,2/7/2016,48,28,2,0.49,4.07,Pennsylvania,7,2016
39,Williamsport,IPT,22,2/7/2016,48,28,2,0.96,3.14,Pennsylvania,7,2016
78,San Juan,SJU,11,2/7/2016,84,71,2,1.37,4.91,Puerto Rico,7,2016
40,Providence,PVD,23,2/7/2016,50,29,2,2.15,6.14,Rhode Island,7,2016
50,Anderson,AND,16,2/7/2016,59,40,2,1.57,5.22,South Carolina,7,2016
54,Charleston,CHS,21,2/7/2016,64,44,2,3.25,8.82,South Carolina,7,2016
53,Columbia,CAE,21,2/7/2016,64,42,2,1.68,5.67,South Carolina,7,2016
49,Greer,GSP,22,2/7/2016,58,40,2,1.62,5.64,South Carolina,7,2016
28,Aberdeen,ABR,23,2/7/2016,37,19,2,0.04,8.81,South Dakota,7,2016
26,Huron,HON,19,2/7/2016,33,19,2,0.08,9.88,South Dakota,7,2016
30,Pierre,PIR,21,2/7/2016,37,21,2,0,10.65,South Dakota,7,2016
28,Rapid City,RAP,30,2/7/2016,38,18,2,0.22,10.42,South Dakota,7,2016
24,Sioux Falls,FSD,20,2/7/2016,32,16,2,0.31,11.12,South Dakota,7,2016
43,Bristol/Jhnsn Cty/Kngsprt,TRI,22,2/7/2016,52,34,2,1.58,2.9,Tennessee,7,2016
